Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Operating margin 2019,Operating margin 2020,Operating margin 2021,Weighted Average Operating margin 2019-2021
"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],"www.torres.pt
torres.pt",15.26488692,7.74969815,12.26668891,63.62610163,45.6458685,67.56634837,0.1815502717836163,0.169778742406884,0.23991548325196363,0.19951147624150248
C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],"www.c-and-a.com/hu
www.c-and-a.hu
www.c-and-a.com/eu/en/shop",2.11386361468873,-4.81308339279875,2.91351171706331,63.6858653128192,51.8008079020274,78.9262052005212,0.036914377292829356,-0.09291521865647144,0.03319203726455821,0.0011022517679896192
"JOINT STOCK COMPANY STOLESHNIKOV,12 JSC STOLESHNIKOV,12",RU,Fédération de Russie,MOSCOW,"PER. NIZHNII KISELNYI D. 4, ET 5 POM.I KOM 15",4771.0,Commerce de détail d'habillement en magasin spécialisé,Retail distribution of knitted and crocheted apparel,Retail,Retail distribution of knitted and crocheted apparel [source: Bureau van Dijk],hermes.com,16.1259609586163,8.11632802724707,6.91030301925099,62.0183732050879,36.831861464635,38.1767007590688,0.18100838683943796,0.22036160282151795,0.2600190899121061,0.227346484161162
AXEL KAUFMANN APS,DK,Danemark,AARHUS C,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in Denmark,Retail,Engaged in the retail sale of clothing principally in Denmark [source: Bureau van Dijk],www.kaufmann.dk,1.22699761988203,0.00778923767660825,1.31299234664078,57.2156897588525,61.801557589827,70.2920357475157,0.01867910543033582,0.00012603626802264314,0.021445125018215605,0.013458289855256572
OCHNIK S.A.,PL,Pologne,GARWOLIN,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and accessories in Poland,Retail,Primarily engaged in the retail sale of clothing and accessories in Poland [source: Bureau van Dijk],www.ochnik.com,9.22786075563311,4.24898028445676,6.19501158375088,58.3449671243976,44.2905673507124,54.8116717291799,0.11302358399794733,0.09593420311849801,0.15816035573314047,0.12494253215465921
ME AND EM LIMITED,GB,Royaume-Uni,LONDON,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing,Retail,Design and retail contemporary clothing and accessories.,www.meandem.com,11.6630228490627,1.94760463089357,0.444201137601358,57.344297055446,25.5811029609706,19.7966432126723,0.022438204943604496,0.07613450576642665,0.20338592411004297,0.13682388098738257
CARRY SP. Z O.O.,PL,Pologne,POZNAN,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,Trade: outwear,www.carry.pl,8.86577492248134,2.20233173858069,6.20204337896512,56.2055074087536,49.8420391930754,78.8259555653519,0.07868021813986407,0.044186228618163396,0.15773854433881615,0.09341603765589819
NEWFASHION LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4751.0,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail sale of textiles in specialised stores,Retail,"Sale of clothing, trademark FINN FLARE.",www.finn-flare.ru,6.76779330472497,4.85261257375976,7.61213785924846,55.498227313183,46.6565864837434,83.374007454015,0.09130109121175374,0.10400702107623241,0.12194611670267447,0.10366337482260912
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],"pandora.net
pandorarussia.ru",3.97448070710305,1.37627272953353,13.4259542525902,54.7207251996636,41.4944523649905,77.2855337786395,0.17371885262570214,0.03316763208314353,0.07263209127074002,0.10822265536464941
PLANETA SPORT D.O.O. BEOGRAD,RS,Serbie,BEOGRAD-VRACAR,,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of sports equipment, accessories, and clothing products",Retail,Retail sale of clothing in specialised stores,"www.planetasport.rs
www.planplus.rs",9.10995422121389,6.68342797759878,6.96504649357384,54.0530996211295,43.9428489383521,41.9673705790423,0.1659633757720349,0.15209364297192096,0.16853712895407733,0.1626028078818432
MYUNTS GRUPP,RU,Fédération de Russie,MOSCOW,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",thomas-muenz.ru,8.08949460628779,4.07337589610494,3.20985657353755,52.6902018113922,29.3185042193428,46.7763595940903,0.06862134209227949,0.13893532445006324,0.15352939119961298,0.11936731174027487
NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.","www.newyorker.de
porinpuuvilla.fi",9.434,5.345,3.81,48.226,39.376,36.757,0.10365372582093207,0.13574258431531896,0.19562061958279764,0.14947852588071628
IRIDE METALLI SPA,IT,Italie,MILANO,VIALE CERTOSA 95,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry products,Retail,Engaged in the retail sale of watches and jewelry products [source: Bureau van Dijk],www.iridemetalli.com,0.159094,0.252557,0.132795,46.018086,48.354566,51.590072,0.002574041765245065,0.005223022785480072,0.003457205934205956,0.003730034525801259
SZINGA-SPORT KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and footwear products,Retail,Engaged in the retail sale of clothing and footwear products [source: Bureau van Dijk],"www.playersroom.hu
sportfactory.hu",0.941655516937665,-0.0976046921717942,3.46990711371267,44.8324458899829,35.5269240328855,52.9588516346984,0.06552081487052493,-0.0027473442981285514,0.021003884535955312,0.032358351979783755
VERTIKALNOE INTEGRIROVANIE,RU,Fédération de Russie,MOSCOW,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.tervolina.ru,0.616919915514609,2.23619084915278,3.20263821033243,38.6379878536985,34.680819651649,72.3659029117393,0.04425617703186142,0.06447918104630072,0.01596666777396785,0.041567498453767476
LUX TRADE LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear and other fashion accessories",Wholesale,"Wholesale of kids apparel and shoes under trade marks Gulliver, Gulliver Baby and Button Blue.","gulliver-wear.com
wokster-light.ru
www.gulliver.ru/brands/gulliver",4.70284076994535,3.3439997759671,6.02537770377385,37.8124608243903,30.904334694706,46.9846855823688,0.12824131159100272,0.10820487834478237,0.12437277731767886,0.12162522135170928
CROCKID LIMITED TRADE DEVELOPMENT,RU,Fédération de Russie,PERM,"UL. YAKHTENNAYA D. 24, K. 2 LIT. A, POMESHCH. 54-N, POMESHCH. 1",4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,children's wear.,crockid.ru,7.1680603583665,2.94237960382586,2.8653019537744,35.5693371593198,18.8359176806237,18.6468583184419,0.1536613784929439,0.15621110973810703,0.20152358550455415,0.17762308788842093
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus","www.deichmann.hr
www.deichmann.com",4.56060739441281,1.59921851184357,4.97475893624264,35.1133924595174,29.4222900327291,36.9845669756986,0.1345090491261233,0.05435397822754834,0.12988227781382225,0.10967846218713984
OFFPRAIS,RU,Fédération de Russie,MOSCOW,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Sale of clothes,www.offprice.eu,4.28137192225108,1.78414753355798,3.65115451530079,34.2890292706974,22.5790115075658,32.8595710227615,0.11111388255104339,0.0790179646686546,0.12486127526245953,0.10829079004863122
VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3.365818,2.323486,1.594892,32.687173,25.92786,29.563084,0.053948769350315416,0.08961348911942597,0.10297060562563792,0.08260775176226545
OKAIDI BELGIUM,BE,Belgique,FROYENNES,,4641.0,Commerce de gros de textiles,Engaged in the retail sale of infant and children's wear,Retail,Engaged in the retail sale of infant and children's wear [source: Bureau van Dijk],"nl.okaidi.be
fr.okaidi.be",1.479187,-1.66644,0.47198,32.287479,22.572271,29.827053,0.015823889809026725,-0.07382686482897534,0.04581302244129993,0.003362117707997551
UAB ARMITANA,LT,Lituanie,VILNIAUS M.,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.armitana.lt,2.719526,1.136983,1.285615,32.103919,22.533503,26.70857,0.04813492448304046,0.050457445520121755,0.08471009411654697,0.06321299763607284
DIANITA STRUMICA DOOEL,MK,Macédoine du Nord,STRUMICA,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2.13089345497656,0.650220548862985,0.963295946505922,31.9700432077608,60.9244098256853,7.70870020386497,0.12496217533832059,0.010672578539921393,0.06665281748694292,0.03721960823149193
LAGRANGE 12 S.R.L.,IT,Italie,BRESCIA,VIA CODIGNOLE 45,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, shoes and accessories",Retail,"Engaged in the retail sale of clothing, shoes and accessories [source: Bureau van Dijk]",www.lagrange12.it,1.044648,0.319423,0.278367,32.228508,28.343863,26.503197,0.010503147978713661,0.011269564773157421,0.032413787197347145,0.01886221402540837
"GAP RETAIL, A LIMITED LIABILITY COMPANY",RU,Fédération de Russie,MOSCOW,"PL. PAVELETSKAYA D. 2, STR. 2, POMESHCH. I KOMN 40-41 ET 1",4771.0,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,Operates as a clothing and apparel store [source: Bureau van Dijk],marks-and-spencer.ru,5.99307214401285,0.947041722112426,1.83014265668949,31.5852776147692,20.9782118338507,30.681307702335,0.059650086444985755,0.045144063260161564,0.18974258251288897,0.10535501103943963
MASS SHOES D.O.O.,HR,Croatie,KLANJEC,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Primarily engaged in the retail distribution of footwear and leather goods for men, women and children",Retail,"Trgovina obucom;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.",www.mass-shoes.com,3.46609787472871,1.00587920674799,3.05190327226278,31.5300905436346,25.2183109759244,32.6024236386732,0.09360970540369867,0.039886858707876595,0.10992984209582161,0.08420605339027784
OOO JEWELLERY HOUSE KRISTALL (LIMITED LIABILITY COMPANY),RU,Fédération de Russie,LIPETSK,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories",Manufacturing; Retail,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories [source: Bureau van Dijk]","kristall-shop.ru
www.kristall-shop.ru",3.73643590055793,3.68044822823879,2.82114340117893,31.5255465514793,26.3838794765644,37.6952416849711,0.0748408360067288,0.13949609766478674,0.11852089207895436,0.10708710960335184
NEWPORT COLLECTION AB,SE,Suède,NORRKOPING,SODRA PROMENADEN 120,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Marketing and trade of home textiles and furnishings, clothing and sportswear, as well as other general merchandise",Wholesale,"Bolaget skall bedriva forsaljning av hemtextilier, heminredningoch sportklader samt forvalta fast och los egendom och darmedforenlig verksamhet.",www.newportcollection.se,3.49964973293499,1.31103513608031,0.83906441432441,29.5948447934372,21.821265740757,13.2734547267458,0.06321371727239243,0.060080618221499606,0.11825200494753242,0.08733633099171663
SALVADORI S.P.A.,IT,Italie,VENEZIA,SESTIERE SAN MARCO 67,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","salvadori-venezia.com
www.salvadori-venezia.net
www.luigisalvadori.it",4.83434,2.864021,3.797238,30.120974,22.457887,28.070763,0.1352737722163092,0.1275285159285021,0.1604974659849977,0.14253753991463122
PERE QUERA SA,ES,Espagne,GIRONA,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals",Wholesale,"Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.perequera.com,5.12519765,1.21799534,2.42272105,29.942786849,19.49970147,22.96078382,0.10551560735002817,0.062462255736266924,0.17116635388169174,0.12107068894857641
5 KARMANOV-A,RU,Fédération de Russie,DOLGOPRUDNYI,"PR-D LIKHACHEVSKII D. 4, STR. 2, KABINET 203",4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of department stores,Retail,Trade in clothes,"5karmanov.ru
www.iloveiphone.ru",0.816696909924175,0.980774816113962,-0.695594263043237,29.1772458251047,21.7726934872773,38.0246693762645,-0.018293236324033263,0.045046094856709844,0.027990884226004372,0.01238417880376139
ZOLOTOI KVADRAT,RU,Fédération de Russie,MOSCOW,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2.21097632599379,0.530904626587929,1.07675835037657,29.0453169485466,19.7434901384008,33.5032707184596,0.03213890247984949,0.02689011025235742,0.0761216112707775,0.046403486274682264
ALINA S.R.L.,IT,Italie,VILLARICCA,VIA ANIELLO PALUMBO 57,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.danielloboutique.it
www.antoniodaniello.it",1.130865,0.41334,0.376918,28.212,20.293203,17.13231,0.02200041909117918,0.020368396255632984,0.04008453849425776,0.029268674454499825
MYRTO,BE,Belgique,BRUXELLES,ISIDORE GERARDLAAN 29,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewellery,Retail,Engaged in the retail distribution of jewellery [source: Bureau van Dijk],myrto.okinawa,5.638977,2.783904,2.464807,27.948328,17.854996,22.831999,0.10795406043947356,0.15591736900977185,0.201764377461149,0.15863097198508122
ORN (INT) LIMITED,GB,Royaume-Uni,BUCKINGHAM,,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the supply of high quality, cost effective products for the corporate clothing, workwear and promotional clothing markets",Wholesale,"Manufacture, design, import and distribution of workwear clothing.",www.ornclothing.com,2.31776626258771,1.99326226975741,0.963890752911067,26.8212501076179,19.7792696770254,23.125997371148,0.041679964649378426,0.10077532195603171,0.08641529583027925,0.07565155267213955
DIESEL DEUTSCHLAND GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,WIEN,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the provision of management services to its holding businesses,Services,Engaged in the provision of management services to its holding businesses [source: Bureau van Dijk],,0.29178367,-1.23159206,3.88614412,26.27532623,29.21761932,62.2665147,0.06241146045709219,-0.0421523754728693,0.01110485432020457,0.025019949342031736
CALZEDONIA CROATIA D.O.O.,HR,Croatie,JALZABET,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and related accessories,Retail,Primarily engaged in the retail sale of clothing and related accessories [source: Bureau van Dijk],www.calzedonia.com,3.98351005894863,2.10262803437189,3.18734920215611,26.2085898359882,19.6252588636704,25.8940826279069,0.12309179853782498,0.10713886879037311,0.15199253694598602,0.12928697543397252
DOMANI S.R.L.,IT,Italie,TREVIGLIO,VIA ROMA 8,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the management and operation of shoe stores,Retail; Services,Engaged in the management and operation of shoe stores [source: Bureau van Dijk],"www.pozzilei.it
www.ufficiodomani.it",2.448041,1.509156,1.459383,26.068981,23.439671,24.55004,0.05944523919309297,0.06438469208889493,0.09390627888370473,0.07313901790217954
GIOIELLERIA B. S.R.L.,IT,Italie,ROMA,VIA DELLA CROCE 13,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of miscellaneous shopping goods,Retail,Operates as a retailer of miscellaneous shopping goods [source: Bureau van Dijk],www.gioielleriabonanno.it,1.177158,0.509034,0.354442,26.068318,15.500835,12.024145,0.02947752210240312,0.03283913414986999,0.045156653375181315,0.038076290807854365
V.Y.B.Y.,BE,Belgique,TIENEN,,4511.0,Commerce de voitures et de véhicules automobiles légers,"Engaged in the wholesale of motor vehicles, spare parts and accessories",Wholesale,"Engaged in the wholesale of motor vehicles, spare parts and accessories [source: Bureau van Dijk]","www.australianhouse.net
www.automagna.eu/nl/1/automagna_partner_voor_de_professionele_autohandelaar.aspx",0.351206,0.211803,0.239541,24.707762,22.98033,19.660591,0.01218381482021573,0.009216708376250472,0.014214399507328912,0.011916342892703633
BENVENUTI SRL,RO,Roumanie,ORADEA,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],www.benvenuti.ro,1.18978227005722,-1.49707292772629,1.45003637471873,25.22951221214,20.432381252861,27.8181523272462,0.052125545854406256,-0.07326962575723599,0.04715835407569702,0.015551782864705698
FABRIKA OBUVI,RU,Fédération de Russie,MOSCOW,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale distribution of footwear,Wholesale,Engaged in the wholesale distribution of footwear [source: Bureau van Dijk],www.kapika.ru,1.37456317373021,0.401300270334156,0.097433524059555,24.3671838746975,15.5973090034436,19.9799979754864,0.004876553249860029,0.025728814518296474,0.056410423986562305,0.03125052763727928
